Cancel Date,Client code,Service,Service Price,Staff,Booking Date,Canceled By,Cancel Description,Days
2024-02-28,CUST617,HAIRCOLOR,35,Mei Ling,2024-02-28,Takeshi Yamada,Client canceled,0
2024-07-27,CUST169,HAIRSTYLING,100,John Doe,2024-02-06,Michael Brown,Staff unavailable,172
2024-10-03,CUST466,MASSAGE,45,Priya Sharma,2024-10-03,Li Wei,Staff unavailable,0
2024-04-03,CUST744,HAIRCUT,55,Mei Ling,2024-04-03,Michael Brown,Rescheduled,0
2024-09-18,CUST318,HAIRCUT,35,Takeshi Yamada,2024-09-18,Yuki Tanaka,Client canceled,0
2024-07-22,CUST775,MANICURE,120,Yuki Tanaka,2024-07-22,Emily Davis,Service issue,0
2024-02-20,CUST009,MAKEUP,15,Amit Patel,2024-02-18,Ravi Kumar,Client canceled,2
2024-05-22,CUST907,FACIAL,80,Amit Patel,2024-03-25,Emily Davis,Staff unavailable,58
2024-07-19,CUST782,MASSAGE,85,Priya Sharma,2024-07-19,Priya Sharma,Service issue,0
2024-08-08,CUST434,NAILART,45,Michael Brown,2024-08-08,Emily Davis,Client no-show,0
2024-10-06,CUST855,BODYSCRUB,85,John Doe,2024-10-06,Li Wei,Client no-show,0
2024-05-02,CUST627,HAIRCOLOR,25,Anjali Singh,2024-05-02,Anjali Singh,Emergency closure,0
2024-08-16,CUST883,HAIRSTYLING,80,Sofia Chen,2024-08-16,Sarah Wilson,Double-booked,0
2024-07-21,CUST774,PEDICURE,80,Jane Smith,2024-07-21,Sarah Wilson,Staff unavailable,0
2024-05-10,CUST169,HAIRSTYLING,80,Priya Sharma,2023-11-22,Takeshi Yamada,Double-booked,170
2024-09-05,CUST681,SPATREATMENT,25,John Doe,2024-09-05,Amit Patel,Service issue,0
2024-06-18,CUST339,WAXING,120,Jane Smith,2024-05-15,Sofia Chen,Staff unavailable,34
2024-04-27,CUST860,SPATREATMENT,85,John Doe,2024-02-14,Anjali Singh,Rescheduled,73
2024-10-11,CUST263,HAIRCUT,70,John Doe,2024-10-11,Amit Patel,Client canceled,0
2023-11-22,CUST427,HAIRCOLOR,85,Mei Ling,2023-11-02,Yuki Tanaka,Rescheduled,20
2024-09-11,CUST360,WAXING,40,Kunal Joshi,2024-05-28,Priya Sharma,Service issue,106
2024-08-18,CUST780,MASSAGE,15,Takeshi Yamada,2024-04-28,John Doe,Staff unavailable,112
2024-08-14,CUST027,PEDICURE,55,John Doe,2024-08-14,Yuki Tanaka,Service issue,0
2024-06-05,CUST374,FACIAL,70,Kunal Joshi,2024-06-05,Sofia Chen,Client canceled,0
2024-09-24,CUST474,HAIRCOLOR,15,Michael Brown,2024-09-24,Sofia Chen,Client no-show,0
2024-10-07,CUST064,HAIRCOLOR,60,Anjali Singh,2024-05-29,Mei Ling,Client no-show,131
2024-08-27,CUST893,SPATREATMENT,35,Amit Patel,2024-08-27,Mei Ling,Service issue,0
2024-07-23,CUST409,HAIRCUT,35,Ravi Kumar,2024-07-23,Jane Smith,Double-booked,0
2024-09-18,CUST301,EYEBROWTHREADING,50,Jane Smith,2024-04-26,Yuki Tanaka,Staff unavailable,145
2024-10-01,CUST743,NAILART,35,Amit Patel,2024-05-18,Jane Smith,Staff unavailable,136
2024-05-18,CUST679,SPATREATMENT,85,Ravi Kumar,2023-10-31,Emily Davis,Client no-show,200
2024-08-01,CUST517,HAIRCOLOR,25,Anjali Singh,2024-08-01,John Doe,Emergency closure,0
2024-10-20,CUST272,SKINCARE,55,Takeshi Yamada,2024-02-19,Michael Brown,Rescheduled,244
2024-05-08,CUST785,MANICURE,100,Anjali Singh,2023-11-28,Takeshi Yamada,Emergency closure,162
2024-08-31,CUST754,PEDICURE,30,Jane Smith,2024-06-26,Michael Brown,Client canceled,66
2024-07-31,CUST496,NAILART,50,Yuki Tanaka,2024-07-31,Takeshi Yamada,Rescheduled,0
2024-02-29,CUST991,SPATREATMENT,30,Jane Smith,2024-02-15,Mei Ling,Rescheduled,14
2024-06-29,CUST779,PEDICURE,15,Anjali Singh,2024-05-10,Mei Ling,Service issue,50
2024-09-12,CUST481,MANICURE,30,Ravi Kumar,2024-09-12,Mei Ling,Client no-show,0
2024-05-04,CUST675,BODYSCRUB,30,Priya Sharma,2024-05-04,Anjali Singh,Emergency closure,0
2024-10-05,CUST854,MANICURE,50,John Doe,2024-02-04,Ravi Kumar,Emergency closure,244
2024-10-19,CUST670,MANICURE,60,Sofia Chen,2024-04-05,Takeshi Yamada,Client no-show,197
2024-07-15,CUST140,PEDICURE,85,Li Wei,2024-02-11,Yuki Tanaka,Emergency closure,155
2024-10-03,CUST004,HAIRSTYLING,80,Kunal Joshi,2024-10-03,Jane Smith,Client no-show,0
2024-10-13,CUST404,PEDICURE,35,Emily Davis,2024-10-13,Anjali Singh,Service issue,0
2023-12-03,CUST163,EYEBROWTHREADING,35,Li Wei,2023-10-29,Sarah Wilson,Double-booked,35
2024-09-18,CUST374,HAIRCUT,25,Amit Patel,2024-09-18,Michael Brown,Rescheduled,0
2024-05-30,CUST269,WAXING,50,Mei Ling,2023-12-18,Priya Sharma,Service issue,164
2024-06-07,CUST256,HAIRSTYLING,25,Amit Patel,2024-06-07,Li Wei,Staff unavailable,0
2024-02-20,CUST488,FACIAL,100,Mei Ling,2024-02-20,Sofia Chen,Client canceled,0
2024-06-16,CUST237,WAXING,100,Ravi Kumar,2023-12-11,Jane Smith,Double-booked,188
2024-07-16,CUST393,HAIRCUT,25,Yuki Tanaka,2024-07-16,Amit Patel,Staff unavailable,0
2024-05-06,CUST781,SPATREATMENT,50,Mei Ling,2024-02-01,Kunal Joshi,Rescheduled,95
2024-08-05,CUST886,NAILART,25,Jane Smith,2023-12-25,Sarah Wilson,Emergency closure,224
2024-03-30,CUST557,EYEBROWTHREADING,35,Priya Sharma,2024-03-30,Yuki Tanaka,Client no-show,0
2024-06-21,CUST247,EYEBROWTHREADING,70,Sofia Chen,2024-06-21,Priya Sharma,Rescheduled,0
2024-03-31,CUST951,FACIAL,40,Sofia Chen,2024-03-31,Jane Smith,Service issue,0
2024-01-08,CUST791,HAIRSTYLING,55,Jane Smith,2024-01-08,Li Wei,Client canceled,0
2024-10-22,CUST561,MAKEUP,30,Priya Sharma,2024-01-22,Anjali Singh,Service issue,274
2024-06-24,CUST580,BODYSCRUB,40,Takeshi Yamada,2024-06-24,Yuki Tanaka,Double-booked,0
2024-10-05,CUST156,MANICURE,85,Michael Brown,2024-10-05,John Doe,Double-booked,0
2024-08-14,CUST448,HAIRSTYLING,50,Takeshi Yamada,2024-08-14,Sofia Chen,Client canceled,0
2024-07-03,CUST121,NAILART,120,Yuki Tanaka,2024-07-03,Jane Smith,Staff unavailable,0
2024-09-10,CUST409,BODYSCRUB,40,Li Wei,2024-07-09,Ravi Kumar,Staff unavailable,63
2024-09-16,CUST847,EYEBROWTHREADING,55,Yuki Tanaka,2024-09-16,Mei Ling,Double-booked,0
2024-09-22,CUST409,PEDICURE,100,Ravi Kumar,2024-08-25,Mei Ling,Double-booked,28
2024-05-31,CUST997,NAILART,15,Li Wei,2024-05-29,Sofia Chen,Emergency closure,2
2024-09-01,CUST226,HAIRCUT,30,Michael Brown,2024-09-01,Li Wei,Client no-show,0
2024-08-21,CUST874,FACIAL,55,Michael Brown,2024-01-19,Takeshi Yamada,Emergency closure,215
2024-02-16,CUST511,HAIRCUT,80,Amit Patel,2024-02-16,Priya Sharma,Emergency closure,0
2024-10-08,CUST515,MAKEUP,120,Anjali Singh,2024-10-08,Anjali Singh,Staff unavailable,0
2024-04-17,CUST378,NAILART,50,Amit Patel,2023-12-30,Mei Ling,Client canceled,109
2024-09-23,CUST454,MASSAGE,30,Anjali Singh,2023-11-11,Jane Smith,Staff unavailable,317
2024-06-06,CUST759,MASSAGE,85,Yuki Tanaka,2024-06-06,Amit Patel,Client no-show,0
2024-04-12,CUST254,SPATREATMENT,40,Emily Davis,2023-12-15,Michael Brown,Service issue,119
2024-05-18,CUST720,HAIRSTYLING,100,Yuki Tanaka,2023-12-20,Takeshi Yamada,Double-booked,150
2024-08-15,CUST576,EYEBROWTHREADING,60,Mei Ling,2024-08-15,Michael Brown,Double-booked,0
2024-01-07,CUST836,EYEBROWTHREADING,70,Priya Sharma,2024-01-07,Sarah Wilson,Client no-show,0
2024-07-09,CUST410,MANICURE,80,Anjali Singh,2024-07-09,Priya Sharma,Emergency closure,0
2024-03-09,CUST713,MANICURE,120,Takeshi Yamada,2024-03-09,Emily Davis,Client canceled,0
2024-09-17,CUST581,MANICURE,70,Li Wei,2023-11-11,Takeshi Yamada,Double-booked,311
2024-08-14,CUST075,PEDICURE,30,Jane Smith,2024-08-14,John Doe,Rescheduled,0
2024-04-19,CUST226,WAXING,100,Amit Patel,2023-11-03,Sofia Chen,Emergency closure,168
2024-02-28,CUST943,HAIRCOLOR,100,Priya Sharma,2024-02-28,Sarah Wilson,Double-booked,0
2024-03-30,CUST471,WAXING,55,Ravi Kumar,2024-03-30,Emily Davis,Rescheduled,0
2024-07-23,CUST988,HAIRCUT,40,Priya Sharma,2023-11-03,Anjali Singh,Client no-show,263
2024-04-25,CUST224,WAXING,55,Kunal Joshi,2023-12-28,Takeshi Yamada,Client no-show,119
2024-08-31,CUST728,PEDICURE,35,Mei Ling,2023-10-28,Ravi Kumar,Emergency closure,308
2024-10-03,CUST705,SPATREATMENT,40,Kunal Joshi,2024-10-03,Ravi Kumar,Double-booked,0
2024-01-25,CUST281,HAIRCUT,35,Emily Davis,2024-01-25,John Doe,Staff unavailable,0
2024-10-14,CUST629,WAXING,55,Anjali Singh,2024-06-16,Priya Sharma,Rescheduled,120
2024-06-15,CUST783,PEDICURE,35,Emily Davis,2024-01-24,Mei Ling,Client canceled,143
2024-01-29,CUST558,HAIRCOLOR,80,Ravi Kumar,2023-12-19,Yuki Tanaka,Double-booked,41
2024-06-22,CUST116,WAXING,55,Takeshi Yamada,2024-06-22,Jane Smith,Client canceled,0
2024-09-26,CUST373,PEDICURE,40,Michael Brown,2024-09-09,Sarah Wilson,Double-booked,17
2024-10-21,CUST710,MAKEUP,45,Kunal Joshi,2024-10-21,Kunal Joshi,Staff unavailable,0
2024-05-19,CUST733,MANICURE,55,Sofia Chen,2024-05-19,Takeshi Yamada,Staff unavailable,0
2024-07-08,CUST717,MAKEUP,60,Kunal Joshi,2024-07-08,Sarah Wilson,Emergency closure,0
2024-04-25,CUST418,EYEBROWTHREADING,120,Ravi Kumar,2023-11-13,Takeshi Yamada,Emergency closure,164
2024-09-01,CUST895,MANICURE,25,Sarah Wilson,2024-09-01,Sofia Chen,Staff unavailable,0
2024-07-07,CUST200,EYEBROWTHREADING,25,Ravi Kumar,2023-10-24,Takeshi Yamada,Service issue,257
2024-01-08,CUST647,SKINCARE,40,Emily Davis,2023-11-12,Sofia Chen,Staff unavailable,57
2024-05-20,CUST300,FACIAL,40,Priya Sharma,2023-10-25,Takeshi Yamada,Client no-show,208
2024-04-07,CUST896,MAKEUP,70,Jane Smith,2023-11-13,Ravi Kumar,Client no-show,146
2023-12-07,CUST318,FACIAL,120,Amit Patel,2023-12-07,Ravi Kumar,Service issue,0
2024-04-29,CUST161,FACIAL,120,Jane Smith,2024-01-12,Priya Sharma,Rescheduled,108
2024-09-23,CUST011,HAIRCOLOR,80,Emily Davis,2023-12-26,Li Wei,Client canceled,272
2024-10-15,CUST323,MANICURE,40,Amit Patel,2024-10-15,Amit Patel,Double-booked,0
2024-08-18,CUST628,SKINCARE,120,Sarah Wilson,2024-08-18,Amit Patel,Double-booked,0
2024-07-15,CUST039,EYEBROWTHREADING,85,Sofia Chen,2023-12-20,Li Wei,Service issue,208
2024-07-27,CUST550,PEDICURE,70,Mei Ling,2024-07-27,Mei Ling,Client no-show,0
2024-10-18,CUST457,HAIRCUT,35,Li Wei,2024-10-18,Amit Patel,Emergency closure,0
2024-02-27,CUST098,PEDICURE,100,Emily Davis,2024-02-27,Priya Sharma,Double-booked,0
2024-05-29,CUST653,HAIRCUT,100,Priya Sharma,2024-05-29,Kunal Joshi,Client no-show,0
2024-10-12,CUST851,MAKEUP,35,Anjali Singh,2023-11-09,Kunal Joshi,Rescheduled,338
2024-02-14,CUST566,MASSAGE,50,Emily Davis,2023-12-17,Jane Smith,Client canceled,59
2024-09-05,CUST864,PEDICURE,70,Emily Davis,2024-06-01,Jane Smith,Rescheduled,96
2024-04-25,CUST475,WAXING,85,Kunal Joshi,2024-03-11,Kunal Joshi,Service issue,45
2024-08-18,CUST218,WAXING,120,Kunal Joshi,2024-08-18,Sarah Wilson,Staff unavailable,0
2024-07-19,CUST394,HAIRSTYLING,45,Amit Patel,2023-10-28,Yuki Tanaka,Staff unavailable,265
2024-10-11,CUST809,MANICURE,70,Yuki Tanaka,2024-04-01,Michael Brown,Staff unavailable,193
2024-01-31,CUST086,HAIRCUT,55,Yuki Tanaka,2023-12-20,Li Wei,Rescheduled,42
2024-06-18,CUST280,HAIRCUT,35,John Doe,2024-06-18,Jane Smith,Double-booked,0
2024-10-15,CUST086,NAILART,85,Ravi Kumar,2024-10-15,Yuki Tanaka,Client canceled,0
2024-07-08,CUST113,SPATREATMENT,60,Priya Sharma,2024-07-08,Yuki Tanaka,Staff unavailable,0
2024-06-04,CUST238,MANICURE,15,John Doe,2024-06-04,Emily Davis,Service issue,0
2024-09-12,CUST338,HAIRCOLOR,30,Takeshi Yamada,2024-04-15,Ravi Kumar,Service issue,150
2024-08-02,CUST080,HAIRSTYLING,35,Sarah Wilson,2024-08-02,Sofia Chen,Staff unavailable,0
2024-06-29,CUST062,HAIRCOLOR,45,Yuki Tanaka,2024-02-01,Priya Sharma,Staff unavailable,149
2024-06-16,CUST341,MAKEUP,120,Anjali Singh,2023-12-27,Kunal Joshi,Client canceled,172
2024-06-05,CUST411,MAKEUP,45,Kunal Joshi,2024-06-05,Amit Patel,Staff unavailable,0
2024-10-23,CUST726,HAIRCOLOR,45,Sofia Chen,2024-10-23,Li Wei,Client canceled,0
2024-04-13,CUST320,HAIRCOLOR,40,Michael Brown,2023-11-15,Sarah Wilson,Service issue,150
2024-10-10,CUST629,SKINCARE,40,Sarah Wilson,2024-10-10,Kunal Joshi,Staff unavailable,0
2024-03-08,CUST701,MANICURE,80,Michael Brown,2024-03-03,John Doe,Rescheduled,5
2024-07-20,CUST508,HAIRCOLOR,35,Priya Sharma,2024-05-22,Sofia Chen,Emergency closure,59
2024-05-14,CUST666,WAXING,80,Priya Sharma,2024-05-14,Emily Davis,Rescheduled,0
2024-10-22,CUST022,SPATREATMENT,35,Takeshi Yamada,2024-10-22,Yuki Tanaka,Service issue,0
2024-08-08,CUST761,SPATREATMENT,70,Michael Brown,2024-08-08,Amit Patel,Client canceled,0
2024-07-08,CUST842,FACIAL,30,Priya Sharma,2024-01-22,Emily Davis,Rescheduled,168
2024-08-26,CUST616,MASSAGE,45,Sofia Chen,2024-08-26,Ravi Kumar,Client canceled,0
2023-12-14,CUST749,MAKEUP,70,Jane Smith,2023-12-01,Kunal Joshi,Rescheduled,13
2024-02-07,CUST197,HAIRCUT,15,John Doe,2024-02-07,Takeshi Yamada,Rescheduled,0
2024-06-21,CUST454,NAILART,100,Emily Davis,2024-06-21,Ravi Kumar,Client canceled,0
2024-01-16,CUST494,HAIRCUT,25,Mei Ling,2023-12-27,Priya Sharma,Double-booked,20
2024-09-29,CUST555,MASSAGE,55,Michael Brown,2024-05-20,Yuki Tanaka,Rescheduled,132
2024-10-09,CUST328,NAILART,85,Anjali Singh,2024-10-09,Mei Ling,Staff unavailable,0
2024-07-24,CUST075,SKINCARE,35,Sarah Wilson,2024-07-24,Sarah Wilson,Emergency closure,0
2024-09-25,CUST478,MANICURE,15,Jane Smith,2024-09-25,Yuki Tanaka,Service issue,0
2024-08-04,CUST840,PEDICURE,100,Michael Brown,2024-08-04,Sofia Chen,Double-booked,0
2024-04-06,CUST030,MANICURE,120,Jane Smith,2024-04-06,Anjali Singh,Client canceled,0
2024-03-14,CUST053,HAIRCUT,50,Yuki Tanaka,2023-12-05,Anjali Singh,Double-booked,100
2024-03-31,CUST855,HAIRCUT,30,Jane Smith,2024-03-31,Sofia Chen,Client no-show,0
2024-06-19,CUST762,NAILART,85,Michael Brown,2024-06-19,John Doe,Client no-show,0
2024-09-16,CUST199,NAILART,80,Amit Patel,2024-09-16,Priya Sharma,Rescheduled,0
2024-03-19,CUST219,MAKEUP,80,Ravi Kumar,2023-12-29,Sarah Wilson,Rescheduled,81
2024-02-05,CUST495,SKINCARE,70,Anjali Singh,2024-02-05,Emily Davis,Staff unavailable,0
2024-09-18,CUST448,MAKEUP,85,Emily Davis,2024-09-18,John Doe,Emergency closure,0
2024-10-03,CUST118,MASSAGE,40,Emily Davis,2024-10-03,Michael Brown,Service issue,0
2024-08-19,CUST664,HAIRCOLOR,100,Anjali Singh,2023-12-08,Sofia Chen,Double-booked,255
2024-05-31,CUST675,MANICURE,50,Amit Patel,2024-05-31,Emily Davis,Client no-show,0
2024-06-03,CUST532,NAILART,15,Kunal Joshi,2024-06-03,Anjali Singh,Rescheduled,0
2024-09-30,CUST159,EYEBROWTHREADING,30,Priya Sharma,2024-09-30,Jane Smith,Service issue,0
2024-10-12,CUST565,MASSAGE,100,Emily Davis,2024-09-30,Li Wei,Double-booked,12
2024-03-03,CUST499,WAXING,50,Kunal Joshi,2024-03-03,Mei Ling,Rescheduled,0
2024-09-02,CUST522,SKINCARE,25,Jane Smith,2023-12-06,Anjali Singh,Rescheduled,271
2024-05-22,CUST751,HAIRCUT,35,Sofia Chen,2024-05-22,Sarah Wilson,Client no-show,0
2024-07-08,CUST795,MAKEUP,80,Sarah Wilson,2024-03-27,Takeshi Yamada,Client no-show,103
2024-05-21,CUST035,MASSAGE,15,Yuki Tanaka,2024-05-21,Ravi Kumar,Rescheduled,0
2024-01-25,CUST397,MANICURE,80,John Doe,2024-01-25,Li Wei,Client canceled,0
2024-09-04,CUST881,NAILART,15,Emily Davis,2024-01-19,Li Wei,Rescheduled,229
2024-01-22,CUST341,HAIRCUT,70,Anjali Singh,2023-11-03,Jane Smith,Service issue,80
2024-03-05,CUST240,PEDICURE,40,Sofia Chen,2024-03-05,Mei Ling,Rescheduled,0
2024-04-24,CUST990,SKINCARE,15,Michael Brown,2024-02-07,Kunal Joshi,Staff unavailable,77
2024-08-28,CUST741,MASSAGE,80,Takeshi Yamada,2024-08-28,Mei Ling,Emergency closure,0
2024-07-06,CUST075,HAIRSTYLING,70,Ravi Kumar,2024-07-06,Michael Brown,Staff unavailable,0
2024-10-08,CUST206,HAIRCUT,15,Anjali Singh,2024-04-28,Michael Brown,Staff unavailable,163
2024-06-16,CUST237,MANICURE,25,Priya Sharma,2024-05-19,Amit Patel,Client canceled,28
2024-01-07,CUST084,FACIAL,40,Takeshi Yamada,2023-12-11,Anjali Singh,Client canceled,27
2024-04-17,CUST141,EYEBROWTHREADING,15,Takeshi Yamada,2024-04-17,Anjali Singh,Rescheduled,0
2024-08-25,CUST763,BODYSCRUB,70,Jane Smith,2024-08-25,Anjali Singh,Staff unavailable,0
2024-07-11,CUST264,HAIRCOLOR,120,Ravi Kumar,2024-07-11,Amit Patel,Client canceled,0
2024-07-25,CUST630,BODYSCRUB,100,Sarah Wilson,2023-11-10,Priya Sharma,Client no-show,258
2024-10-16,CUST954,MANICURE,60,Sarah Wilson,2024-05-07,John Doe,Rescheduled,162
2024-10-09,CUST044,WAXING,50,Amit Patel,2023-12-14,Takeshi Yamada,Service issue,300
2024-09-30,CUST735,MAKEUP,60,Kunal Joshi,2024-09-30,Takeshi Yamada,Emergency closure,0
2024-07-14,CUST642,WAXING,120,Mei Ling,2024-04-09,Mei Ling,Double-booked,96
2024-02-05,CUST295,FACIAL,60,Takeshi Yamada,2023-11-20,Jane Smith,Rescheduled,77
2024-07-24,CUST648,HAIRCOLOR,120,Amit Patel,2024-07-24,Sarah Wilson,Double-booked,0
2024-05-11,CUST486,HAIRSTYLING,30,Priya Sharma,2024-05-11,Mei Ling,Staff unavailable,0
2024-07-06,CUST669,FACIAL,120,Kunal Joshi,2024-04-25,Michael Brown,Emergency closure,72
2024-06-03,CUST323,SPATREATMENT,120,Yuki Tanaka,2024-06-03,Li Wei,Double-booked,0
2024-08-22,CUST861,BODYSCRUB,45,Takeshi Yamada,2024-08-22,Emily Davis,Staff unavailable,0
2024-10-14,CUST707,FACIAL,120,Sofia Chen,2024-10-14,Yuki Tanaka,Client no-show,0
2024-09-07,CUST833,BODYSCRUB,25,Ravi Kumar,2024-09-07,Ravi Kumar,Double-booked,0
2024-08-24,CUST611,HAIRCUT,100,Mei Ling,2024-08-24,Amit Patel,Emergency closure,0
2024-10-04,CUST111,WAXING,35,Michael Brown,2023-11-30,Sofia Chen,Rescheduled,309
2024-04-19,CUST910,HAIRCUT,15,Jane Smith,2024-04-19,Emily Davis,Staff unavailable,0
2024-05-25,CUST794,EYEBROWTHREADING,50,Ravi Kumar,2024-05-25,Sarah Wilson,Rescheduled,0
2024-04-09,CUST867,SPATREATMENT,40,Amit Patel,2024-04-09,Anjali Singh,Emergency closure,0
2024-10-18,CUST493,HAIRCOLOR,100,John Doe,2024-10-18,Michael Brown,Client canceled,0
2024-07-16,CUST843,HAIRSTYLING,80,Li Wei,2024-07-16,Yuki Tanaka,Staff unavailable,0
2024-02-19,CUST045,SKINCARE,35,Mei Ling,2023-12-24,Kunal Joshi,Double-booked,57
2024-10-17,CUST890,BODYSCRUB,30,Mei Ling,2024-07-31,Michael Brown,Staff unavailable,78
2024-09-05,CUST974,HAIRSTYLING,30,Priya Sharma,2024-09-05,Michael Brown,Rescheduled,0
2024-05-22,CUST316,BODYSCRUB,55,Jane Smith,2024-05-22,Anjali Singh,Client no-show,0
2024-05-27,CUST899,MANICURE,120,Emily Davis,2024-03-26,Sofia Chen,Staff unavailable,62
2024-08-07,CUST889,FACIAL,100,Sarah Wilson,2024-08-07,Amit Patel,Double-booked,0
2024-05-10,CUST807,EYEBROWTHREADING,70,Sarah Wilson,2024-05-10,Emily Davis,Client canceled,0
2024-04-18,CUST281,WAXING,45,Yuki Tanaka,2024-04-18,Anjali Singh,Service issue,0
2024-09-26,CUST891,SKINCARE,60,John Doe,2023-11-22,Sarah Wilson,Client no-show,309
2024-04-23,CUST109,NAILART,80,Sofia Chen,2024-04-23,Amit Patel,Client canceled,0
2024-09-26,CUST742,BODYSCRUB,30,Priya Sharma,2024-09-19,Sarah Wilson,Staff unavailable,7
2024-10-23,CUST832,HAIRSTYLING,50,Sofia Chen,2024-09-14,Amit Patel,Rescheduled,39
2024-09-14,CUST579,EYEBROWTHREADING,30,Michael Brown,2024-09-14,Sofia Chen,Emergency closure,0
2024-10-18,CUST553,PEDICURE,40,Kunal Joshi,2024-02-25,Ravi Kumar,Rescheduled,236
2024-08-01,CUST241,SKINCARE,15,Ravi Kumar,2024-03-09,Sarah Wilson,Double-booked,145
2024-08-12,CUST530,PEDICURE,30,Yuki Tanaka,2024-08-12,Anjali Singh,Rescheduled,0
2024-08-23,CUST685,HAIRCUT,40,Yuki Tanaka,2024-02-29,Amit Patel,Client no-show,176
2024-01-12,CUST143,WAXING,100,Li Wei,2023-11-27,Takeshi Yamada,Rescheduled,46
2024-04-10,CUST238,MAKEUP,100,Anjali Singh,2024-02-11,Michael Brown,Double-booked,59
2024-09-05,CUST814,MAKEUP,45,Emily Davis,2024-09-05,Priya Sharma,Service issue,0
2024-01-25,CUST326,NAILART,55,Amit Patel,2023-11-19,Mei Ling,Staff unavailable,67
2024-08-01,CUST424,MANICURE,35,Takeshi Yamada,2024-08-01,Kunal Joshi,Emergency closure,0
2024-07-31,CUST276,HAIRSTYLING,30,Anjali Singh,2024-04-17,Michael Brown,Staff unavailable,105
2023-11-17,CUST972,NAILART,50,Kunal Joshi,2023-11-17,John Doe,Rescheduled,0
2024-09-06,CUST782,FACIAL,30,Anjali Singh,2024-03-16,Ravi Kumar,Client canceled,174
2024-09-09,CUST584,FACIAL,55,Priya Sharma,2024-09-09,Ravi Kumar,Staff unavailable,0
2024-09-03,CUST910,HAIRSTYLING,85,Takeshi Yamada,2024-06-30,Michael Brown,Service issue,65
2024-04-27,CUST167,HAIRCOLOR,50,Mei Ling,2024-04-27,Kunal Joshi,Rescheduled,0
2024-06-30,CUST331,MANICURE,25,John Doe,2023-11-11,Takeshi Yamada,Emergency closure,232
2024-04-21,CUST603,EYEBROWTHREADING,120,Sarah Wilson,2023-12-04,Emily Davis,Double-booked,139
2024-05-22,CUST744,BODYSCRUB,35,Michael Brown,2024-04-12,Sofia Chen,Service issue,40
2024-07-07,CUST142,MAKEUP,25,Sofia Chen,2024-02-01,Sarah Wilson,Rescheduled,157
2024-06-10,CUST841,SKINCARE,85,Li Wei,2024-06-10,Anjali Singh,Service issue,0
2023-11-16,CUST604,HAIRCOLOR,85,Priya Sharma,2023-11-16,Ravi Kumar,Staff unavailable,0
2024-05-10,CUST207,BODYSCRUB,55,John Doe,2024-05-10,Michael Brown,Emergency closure,0
2024-07-11,CUST017,BODYSCRUB,30,Mei Ling,2024-03-06,Michael Brown,Double-booked,127
2024-09-18,CUST184,HAIRCOLOR,55,Amit Patel,2023-11-22,Sofia Chen,Rescheduled,301
2024-09-27,CUST310,HAIRCUT,55,Michael Brown,2024-04-21,Takeshi Yamada,Client no-show,159
2024-02-29,CUST095,PEDICURE,85,Priya Sharma,2024-02-29,Sofia Chen,Double-booked,0
2024-08-04,CUST980,BODYSCRUB,35,Mei Ling,2024-08-04,Jane Smith,Client no-show,0
2024-02-21,CUST117,HAIRCOLOR,25,Li Wei,2023-10-29,Takeshi Yamada,Service issue,115
2024-09-27,CUST475,HAIRCOLOR,60,Sarah Wilson,2024-01-14,Jane Smith,Client canceled,257
2024-06-15,CUST925,SPATREATMENT,30,Yuki Tanaka,2023-12-09,Emily Davis,Double-booked,189
2024-08-16,CUST967,NAILART,85,Sarah Wilson,2023-12-14,Yuki Tanaka,Service issue,246
2024-03-24,CUST787,MASSAGE,25,Priya Sharma,2023-11-21,Priya Sharma,Client no-show,124
2024-10-22,CUST511,HAIRCUT,60,Sarah Wilson,2024-10-22,Priya Sharma,Staff unavailable,0
2024-07-05,CUST037,WAXING,60,John Doe,2024-06-29,Emily Davis,Staff unavailable,6
2024-08-15,CUST341,MASSAGE,100,John Doe,2024-08-15,John Doe,Client canceled,0
2024-09-02,CUST189,NAILART,45,Sofia Chen,2024-09-02,Yuki Tanaka,Double-booked,0
2024-09-20,CUST677,NAILART,30,Priya Sharma,2024-09-20,Takeshi Yamada,Double-booked,0
2024-05-10,CUST586,NAILART,60,Sofia Chen,2024-05-10,Emily Davis,Double-booked,0
2024-10-05,CUST952,MASSAGE,85,Priya Sharma,2024-10-05,Amit Patel,Service issue,0
2024-08-20,CUST590,HAIRSTYLING,100,Yuki Tanaka,2023-10-25,Sofia Chen,Emergency closure,300
2024-08-18,CUST737,PEDICURE,25,Yuki Tanaka,2024-08-18,Kunal Joshi,Emergency closure,0
2024-07-13,CUST306,HAIRCOLOR,40,Amit Patel,2024-01-01,Priya Sharma,Client canceled,194
2024-05-06,CUST718,SKINCARE,30,Priya Sharma,2024-05-06,Takeshi Yamada,Double-booked,0
2024-07-16,CUST597,PEDICURE,35,Li Wei,2023-11-05,Anjali Singh,Service issue,254
2024-09-07,CUST057,MAKEUP,55,Kunal Joshi,2023-10-31,Amit Patel,Staff unavailable,312
2024-08-08,CUST896,MANICURE,50,Michael Brown,2024-04-30,Sarah Wilson,Client no-show,100
2024-09-03,CUST123,HAIRSTYLING,50,Jane Smith,2024-09-03,Yuki Tanaka,Service issue,0
2023-12-13,CUST083,WAXING,25,Takeshi Yamada,2023-12-13,Michael Brown,Emergency closure,0
